symbol,gap_start_utc,gap_end_utc,gap_hours,missing_candles
ADA/USDT,2020-02-09 01:00:00,2020-02-09 03:00:00,2.00,1
ADA/USDT,2020-02-19 11:00:00,2020-02-19 17:00:00,6.00,5
ADA/USDT,2020-03-04 09:00:00,2020-03-04 11:00:00,2.00,1
ADA/USDT,2020-04-25 01:00:00,2020-04-25 04:00:00,3.00,2
ADA/USDT,2020-06-28 01:00:00,2020-06-28 05:00:00,4.00,3
ADA/USDT,2020-11-30 05:00:00,2020-11-30 07:00:00,2.00,1
ADA/USDT,2020-12-21 13:00:00,2020-12-21 18:00:00,5.00,4
ADA/USDT,2020-12-25 01:00:00,2020-12-25 03:00:00,2.00,1
ADA/USDT,2021-02-11 03:00:00,2021-02-11 05:00:00,2.00,1
ADA/USDT,2021-03-06 01:00:00,2021-03-06 03:00:00,2.00,1
ADA/USDT,2021-04-20 01:00:00,2021-04-20 04:00:00,3.00,2
ADA/USDT,2021-04-25 04:00:00,2021-04-25 08:00:00,4.00,3
ADA/USDT,2021-08-13 01:00:00,2021-08-13 06:00:00,5.00,4
ADA/USDT,2021-09-29 06:00:00,2021-09-29 09:00:00,3.00,2
ADA/USDT,2023-03-24 12:00:00,2023-03-24 14:00:00,2.00,1
BNB/USDT,2020-02-09 01:00:00,2020-02-09 03:00:00,2.00,1
BNB/USDT,2020-02-19 11:00:00,2020-02-19 17:00:00,6.00,5
BNB/USDT,2020-03-04 09:00:00,2020-03-04 11:00:00,2.00,1
BNB/USDT,2020-04-25 01:00:00,2020-04-25 04:00:00,3.00,2
BNB/USDT,2020-06-28 01:00:00,2020-06-28 05:00:00,4.00,3
BNB/USDT,2020-11-30 05:00:00,2020-11-30 07:00:00,2.00,1
BNB/USDT,2020-12-21 13:00:00,2020-12-21 18:00:00,5.00,4
BNB/USDT,2020-12-25 01:00:00,2020-12-25 03:00:00,2.00,1
BNB/USDT,2021-02-11 03:00:00,2021-02-11 05:00:00,2.00,1
BNB/USDT,2021-03-06 01:00:00,2021-03-06 03:00:00,2.00,1
BNB/USDT,2021-04-20 01:00:00,2021-04-20 04:00:00,3.00,2
BNB/USDT,2021-04-25 04:00:00,2021-04-25 08:00:00,4.00,3
BNB/USDT,2021-08-13 01:00:00,2021-08-13 06:00:00,5.00,4
BNB/USDT,2021-09-29 06:00:00,2021-09-29 09:00:00,3.00,2
BNB/USDT,2023-03-24 12:00:00,2023-03-24 14:00:00,2.00,1
