id,timestamp,symbol,patterns,ml_win_probability,actual_result,pnl
4695,1763750143238,XRPUSDT,[],61.84,,
4696,1763751043238,XRPUSDT,[],62.02,,
4697,1763751643238,XRPUSDT,"[""bullish_engulfing""]",67.24,,
4698,1763753443238,XRPUSDT,"[""shooting_star""]",60.85,,
4699,1763754043238,XRPUSDT,[],57.13,,
4700,1763754343238,XRPUSDT,[],59.78,,
4701,1763754643238,XRPUSDT,[],56.02,,
4702,1763754943238,XRPUSDT,[],69.62,,
4703,1763757043238,XRPUSDT,"[""doji""]",57.94,,
4704,1763757943238,XRPUSDT,"[""shooting_star""]",59.3,,
4705,1763758243238,XRPUSDT,[],74.31,,
4706,1763761543238,XRPUSDT,"[""shooting_star""]",58.76,,
4707,1763762143238,XRPUSDT,[],64.11,,
4708,1763762443238,XRPUSDT,[],62.87,,
4709,1763763043238,XRPUSDT,[],66.54,,
4710,1763763343238,XRPUSDT,"[""doji""]",57.75,,
4711,1763763643238,XRPUSDT,[],60.13,,
4712,1763763943238,XRPUSDT,[],64.5,,
4713,1763764243238,XRPUSDT,[],65.77,,
4714,1763764543238,XRPUSDT,[],66.21,,
4715,1763765143238,XRPUSDT,[],61.05,,
4716,1763765743238,XRPUSDT,[],66.89,,
4717,1763766943238,XRPUSDT,[],63.46,,
4718,1763768143238,XRPUSDT,[],72.58,,
4719,1763769343238,XRPUSDT,[],69.93,,
4720,1763769643238,XRPUSDT,[],60.05,,
4721,1763769943238,XRPUSDT,[],56.31,,
4722,1763771443238,XRPUSDT,[],56.1,,
4723,1763771743238,XRPUSDT,"[""doji""]",56.77,,
4724,1763773243238,XRPUSDT,"[""doji""]",56.46,,
4725,1763773543238,XRPUSDT,[],56.05,,
4726,1763773843238,XRPUSDT,[],57.59,,
4727,1763774143238,XRPUSDT,[],58.6,,
4728,1763774743238,XRPUSDT,[],65.57,,
4729,1763775043238,XRPUSDT,"[""bullish_engulfing""]",65.74,,
4730,1763775343238,XRPUSDT,[],71.21,,
4731,1763776543238,XRPUSDT,[],65.27,,
4732,1763776843238,XRPUSDT,[],63.79,,
4733,1763777143238,XRPUSDT,[],73.06,,
4734,1763777743238,XRPUSDT,[],60.42,,
4735,1763778043238,XRPUSDT,[],63.0,,
4736,1763778343238,XRPUSDT,"[""bullish_engulfing""]",57.23,,
4737,1763779543238,XRPUSDT,[],60.02,,
4738,1763780443238,XRPUSDT,[],68.99,,
4739,1763780743238,XRPUSDT,"[""shooting_star""]",62.01,,
4740,1763781043238,XRPUSDT,[],60.26,,
4741,1763781343238,XRPUSDT,[],65.96,,
4742,1763781643238,XRPUSDT,"[""shooting_star""]",65.31,,
4743,1763783143238,XRPUSDT,"[""doji""]",56.83,,
4744,1763784343238,XRPUSDT,[],59.75,,
4745,1763784943238,XRPUSDT,[],66.03,,
4746,1763786143238,XRPUSDT,[],57.5,,
4747,1763786743238,XRPUSDT,[],64.86,,
4748,1763788543238,XRPUSDT,[],56.45,,
4749,1763789443238,XRPUSDT,[],56.38,,
4750,1763789743238,XRPUSDT,[],65.88,,
4751,1763790043238,XRPUSDT,[],63.23,,
4752,1763790343238,XRPUSDT,[],60.61,,
4753,1763790643238,XRPUSDT,[],68.13,,
4754,1763792143238,XRPUSDT,[],62.99,,
4755,1763793343238,XRPUSDT,[],64.99,,
4756,1763793643238,XRPUSDT,"[""shooting_star""]",59.37,,
4757,1763794843238,XRPUSDT,[],70.38,,
4758,1763795443238,XRPUSDT,[],67.93,,
4759,1763797243238,XRPUSDT,"[""doji""]",62.47,,
4760,1763797543238,XRPUSDT,[],61.75,,
4761,1763797843238,XRPUSDT,[],65.66,,
4762,1763798443238,XRPUSDT,"[""bearish_engulfing""]",75.09,,
4763,1763799043238,XRPUSDT,"[""doji""]",56.26,,
4764,1763799643238,XRPUSDT,[],59.37,,
4765,1763800243238,XRPUSDT,"[""shooting_star""]",77.85,,
4766,1763800543238,XRPUSDT,[],66.65,,
4767,1763802943238,XRPUSDT,"[""doji""]",60.93,,
4768,1763803243238,XRPUSDT,[],60.77,,
4769,1763804443238,XRPUSDT,[],73.5,,
4770,1763805043238,XRPUSDT,[],66.28,,
4771,1763806843238,XRPUSDT,"[""bullish_engulfing""]",56.64,,
4772,1763807143238,XRPUSDT,[],57.84,,
4773,1763807443238,XRPUSDT,[],56.89,,
4774,1763808643238,XRPUSDT,"[""shooting_star""]",62.65,,
4775,1763810143238,XRPUSDT,[],60.94,,
4776,1763810443238,XRPUSDT,[],64.77,,
4777,1763811043238,XRPUSDT,[],57.56,,
4778,1763811343238,XRPUSDT,[],63.0,,
4779,1763811943238,XRPUSDT,"[""doji""]",66.96,,
4780,1763812243238,XRPUSDT,[],59.68,,
4781,1763812543238,XRPUSDT,"[""shooting_star""]",58.96,,
4782,1763813143238,XRPUSDT,[],56.22,,
4783,1763813743238,XRPUSDT,[],62.2,,
4784,1763814943238,XRPUSDT,"[""doji""]",57.79,,
4785,1763815543238,XRPUSDT,"[""shooting_star""]",56.57,,
4786,1763815843238,XRPUSDT,[],58.01,,
4787,1763817043238,XRPUSDT,[],63.31,,
4788,1763818243238,XRPUSDT,"[""bearish_engulfing""]",57.26,,
4789,1763819143238,XRPUSDT,"[""doji""]",69.75,,
4790,1763820043238,XRPUSDT,[],67.47,,
4791,1763821543238,XRPUSDT,[],73.3,,
4792,1763823343238,XRPUSDT,[],66.75,,
4793,1763823643238,XRPUSDT,[],58.55,,
4794,1763825143238,XRPUSDT,[],69.67,,
4795,1763826043238,XRPUSDT,[],66.05,,
4796,1763827243238,XRPUSDT,[],58.13,,
4797,1763829343238,XRPUSDT,[],57.25,,
4798,1763831443238,XRPUSDT,"[""bearish_engulfing""]",59.19,,
4799,1763831743238,XRPUSDT,"[""doji""]",67.52,,
4800,1763833843238,XRPUSDT,"[""shooting_star""]",56.94,,
4801,1763835343238,XRPUSDT,[],59.21,,
4802,1763836843238,XRPUSDT,[],59.93,,
4803,1763838043238,XRPUSDT,[],62.07,,
4804,1763839243238,XRPUSDT,[],61.54,,
4805,1763839843238,XRPUSDT,[],58.03,,
4806,1763841343238,XRPUSDT,[],59.25,,
4807,1763841943238,XRPUSDT,[],60.51,,
4808,1763842243238,XRPUSDT,"[""bullish_engulfing""]",62.27,,
4809,1763842543238,XRPUSDT,[],59.11,,
4810,1763843443238,XRPUSDT,[],61.09,,
4811,1763844643238,XRPUSDT,[],58.09,,
4812,1763845843238,XRPUSDT,[],78.51,,
4813,1763846443238,XRPUSDT,"[""bullish_engulfing""]",58.32,,
4814,1763847043238,XRPUSDT,[],59.59,,
4815,1763847343238,XRPUSDT,[],65.19,,
4816,1763848843238,XRPUSDT,"[""bullish_engulfing""]",68.69,,
4817,1763849143238,XRPUSDT,[],61.25,,
4818,1763850043238,XRPUSDT,"[""doji""]",68.08,,
4819,1763851543238,XRPUSDT,[],62.09,,
4820,1763851843238,XRPUSDT,[],65.06,,
4821,1763852143238,XRPUSDT,[],67.44,,
4822,1763852443238,XRPUSDT,[],70.64,,
4823,1763853943238,XRPUSDT,[],71.46,,
4824,1763854843238,XRPUSDT,"[""bullish_engulfing""]",62.13,,
4825,1763855143238,XRPUSDT,[],67.32,,
4826,1763855443238,XRPUSDT,"[""doji""]",58.7,,
4827,1763856343238,XRPUSDT,[],61.67,,
4828,1763856943238,XRPUSDT,[],61.13,,
4829,1763857243238,XRPUSDT,[],61.55,,
4830,1763857543238,XRPUSDT,[],66.06,,
4831,1763857843238,XRPUSDT,"[""shooting_star""]",59.6,,
4832,1763858143238,XRPUSDT,"[""shooting_star""]",65.06,,
4833,1763858743238,XRPUSDT,"[""shooting_star""]",56.56,,
4834,1763859643238,XRPUSDT,"[""doji""]",67.73,,
4835,1763860243238,XRPUSDT,"[""doji"", ""shooting_star""]",61.6,,
4836,1763860843238,XRPUSDT,[],57.16,,
4837,1763861443238,XRPUSDT,[],65.71,,
4838,1763861743238,XRPUSDT,[],68.26,,
4839,1763862343238,XRPUSDT,[],65.93,,
4840,1763863843238,XRPUSDT,"[""doji""]",58.15,,
4841,1763864743238,XRPUSDT,[],56.09,,
